account   age,merchant,amount
4,M348934600,47.16
3,M348934600,40.66
3,M348934600,33.62
4,M1823072687,6.58
2,M1823072687,26.27
3,M348934600,44.36
4,M348934600,23.72
1,M348934600,59.78
6,M348934600,36.68
2,M348934600,29.92
1,M348934600,31.64
3,M348934600,20.33
5,M348934600,29.03
3,M348934600,2.66
4,M480139044,85.74
3,M348934600,20.5
2,M348934600,47.86
6,M1535107174,37.43
2,M348934600,26.79
2,M980657600,85.74
4,M348934600,42.58
5,M348934600,18.48
3,M1823072687,35.89
6,M348934600,46.19
5,M348934600,60.05
3,M1823072687,29.1
6,M348934600,44.51
3,M348934600,12.53
2,M85975013,35.23
4,M348934600,3.92
2,M348934600,23.03
2,M348934600,28.91
4,M348934600,48.62
4,M1823072687,24.31
3,M348934600,30.78
3,M348934600,14.35
2,M348934600,22.14
3,M348934600,28.63
4,M348934600,85.74
6,M348934600,18.53
4,M348934600,85.74
3,M348934600,16.1
4,M348934600,37.95
1,M348934600,25.28
4,M348934600,12.27
4,M348934600,55.1
1,M348934600,0.61
2,M348934600,4.39
2,M348934600,20.93
2,M151143676,49.65
5,M1352454843,71
3,M348934600,42.8
5,M348934600,5.35
3,M1823072687,32.86
3,M1823072687,46
1,M348934600,31.74
5,M348934600,25.88
6,M348934600,6.28
5,M855959430,61.75
4,M1823072687,52.47
2,M348934600,16.91
6,M348934600,2.53
2,M348934600,50.36
3,M348934600,8.02
4,M1823072687,19.46
2,M348934600,15.97
2,M348934600,32.55
4,M348934600,35.56
3,M1823072687,9.17
1,M348934600,10.42
3,M855959430,49.3
2,M348934600,29.36
5,M348934600,36.9
3,M348934600,26.78
5,M348934600,23.05
2,M348934600,31.42
3,M1823072687,16.17
3,M855959430,15.26
1,M348934600,13.96
2,M348934600,17.37
5,M348934600,2.04
3,M348934600,6.43
3,M1823072687,12.85
1,M348934600,10.28
3,M348934600,23.67
2,M348934600,11.44
6,M348934600,11.76
4,M348934600,23.93
2,M1823072687,2.1
1,M348934600,9.25
3,M348934600,21.04
3,M348934600,12.82
6,M85975013,19.05
3,M348934600,10.88
3,M348934600,25.22
2,M348934600,13.44
3,M348934600,42.69
3,M1823072687,55.84
2,M348934600,41.79
5,M855959430,69.65
2,M348934600,0.3
3,M348934600,12.61
2,M1823072687,6.18
3,M348934600,27.67
3,M348934600,44.8
3,M348934600,27.85
3,M348934600,34.31
3,M857378720,85.74
3,M857378720,85.74
6,M348934600,15.99
2,M348934600,19.39
3,M348934600,28.32
5,M348934600,11.03
4,M1823072687,4.88
4,M348934600,29.93
4,M348934600,54.17
4,M348934600,18.54
2,M348934600,24.44
3,M348934600,25.85
2,M348934600,8.06
2,M348934600,6.35
2,M85975013,47.44
4,M348934600,38.32
3,M1823072687,13.79
1,M348934600,1.51
1,M480139044,44.14
5,M348934600,37.67
3,M348934600,25.3
2,M348934600,57.26
2,M348934600,54.22
3,M348934600,16.42
4,M348934600,16.47
3,M1198415165,40.31
4,M855959430,57.28
2,M1823072687,6.01
4,M348934600,6.63
2,M348934600,44.27
2,M1823072687,2.93
3,M85975013,6.92
2,M980657600,85.74
3,M1823072687,21.25
4,M348934600,33.28
2,M855959430,19.21
4,M348934600,15.34
5,M348934600,27.81
5,M348934600,57.79
4,M348934600,11.34
3,M348934600,54.83
3,M85975013,44.77
2,M348934600,29.94
2,M85975013,1.6
6,M348934600,17.74
2,M348934600,50.91
2,M348934600,31.34
3,M348934600,13.09
4,M85975013,13.85
2,M348934600,7.11
4,M2122776122,54.59
2,M348934600,10.09
3,M348934600,41.78
2,M348934600,22.11
2,M85975013,7.44
1,M348934600,13.16
3,M348934600,66.22
3,M348934600,27.57
2,M348934600,22.75
2,M348934600,2.55
1,M348934600,48.41
3,M1352454843,85.74
3,M348934600,37.58
4,M348934600,5.18
2,M855959430,18.19
3,M348934600,2.74
4,M348934600,32.71
2,M348934600,37.73
3,M348934600,16.1
1,M348934600,30.86
3,M348934600,2.49
5,M1823072687,46.01
4,M1823072687,16.44
2,M348934600,10.99
2,M348934600,1.47
4,M348934600,14.89
4,M348934600,25.36
2,M348934600,47.45
3,M348934600,9.57
3,M348934600,43.42
3,M1198415165,38.48
3,M348934600,5.18
3,M348934600,23.75
3,M151143676,85.74
3,M1823072687,39.67
3,M348934600,53.78
4,M117188757,85.74
5,M348934600,12.03
2,M348934600,23.14
2,M348934600,26.04
3,M348934600,30.35
2,M348934600,28.69
5,M348934600,14.13
3,M348934600,2.07
4,M348934600,26.77
5,M1823072687,9.7
3,M348934600,34.28
5,M85975013,63.22
4,M1823072687,26.95
2,M840466850,85.74
5,M348934600,57.23
3,M348934600,37.29
4,M1535107174,33.78
5,M348934600,40.93
4,M348934600,39.26
4,M348934600,17.19
2,M348934600,16.05
4,M1823072687,39.06
3,M348934600,34.43
2,M1823072687,39.74
2,M1823072687,37.12
2,M348934600,49.05
2,M348934600,47.71
5,M348934600,43.65
4,M348934600,9.54
3,M348934600,55.17
2,M1053599405,85.74
4,M348934600,1.74
3,M348934600,4
4,M1198415165,85.74
2,M1198415165,4.32
5,M348934600,12.43
5,M348934600,9.96
3,M1823072687,25.62
5,M348934600,21.7
3,M151143676,65.69
1,M1823072687,60.42
3,M348934600,39.78
1,M348934600,29.18
0,M348934600,22.82
2,M348934600,3.17
2,M1823072687,26.57
3,M348934600,17.37
4,M348934600,10.2
3,M348934600,37.29
1,M348934600,4.14
4,M1823072687,23.07
4,M348934600,64.01
3,M348934600,22.81
3,M348934600,33.33
3,M1823072687,14.7
2,M348934600,0.88
6,M348934600,8.59
5,M348934600,36.18
4,M349281107,6.21
1,M348934600,43.33
2,M1823072687,12.92
4,M348934600,19.45
5,M348934600,20.56
2,M348934600,3.84
1,M1741626453,1.22
2,M348934600,33.94
1,M348934600,28.57
2,M348934600,10.75
4,M348934600,0.34
3,M348934600,3.8
2,M348934600,31.02
2,M1823072687,7.56
2,M348934600,20.49
4,M1823072687,37.84
6,M348934600,15.35
5,M348934600,29.82
2,M1823072687,65.41
3,M348934600,16.47
4,M348934600,69.95
3,M348934600,64.03
4,M1823072687,54.21
5,M1823072687,49.89
4,M348934600,16.66
4,M547558035,46.45
2,M980657600,85.74
5,M980657600,69.53
2,M348934600,2.11
6,M348934600,25.74
3,M348934600,9.17
4,M348934600,34.73
2,M348934600,5.37
2,M348934600,0.14
4,M348934600,15.8
3,M348934600,5.11
2,M348934600,42.9
1,M348934600,14.29
3,M348934600,25.15
3,M348934600,5.47
3,M348934600,6.83
2,M1823072687,31.16
1,M1823072687,13.04
4,M840466850,35.85
3,M348934600,11.68
5,M151143676,17.19
5,M348934600,15.79
1,M348934600,32.62
4,M1823072687,11.99
3,M348934600,32.96
2,M1823072687,21.39
1,M348934600,27.16
5,M348934600,30.33
2,M348934600,19.66
3,M348934600,7.45
1,M348934600,21.23
4,M348934600,13.21
5,M1823072687,19.36
2,M1823072687,39.11
1,M348934600,7.67
2,M1823072687,6.17
2,M348934600,38.69
3,M348934600,58.61
2,M1823072687,0.79
1,M348934600,28.97
4,M348934600,33.3
2,M1823072687,0.18
3,M85975013,45
3,M348934600,73.77
2,M1823072687,23.79
2,M348934600,44.47
5,M348934600,3.26
2,M348934600,33.18
3,M17379832,10.64
3,M480139044,85.74
2,M348934600,17.73
3,M348934600,20.18
2,M348934600,27.57
3,M348934600,4.46
2,M348934600,3.69
2,M1823072687,54.02
3,M348934600,24.35
1,M348934600,5.28
4,M348934600,33.27
3,M348934600,63.23
5,M348934600,2.56
2,M348934600,44.88
2,M1823072687,7.23
3,M348934600,32.63
3,M1823072687,11.42
3,M85975013,51.96
2,M348934600,11.69
2,M692898500,85.74
5,M348934600,37.16
5,M348934600,1.96
2,M348934600,12.83
2,M1823072687,38.2
4,M348934600,20.92
1,M348934600,37.59
2,M348934600,13.43
3,M1823072687,38.89
1,M348934600,26.68
3,M348934600,18.4
5,M980657600,21.56
5,M151143676,58.18
2,M85975013,31.59
2,M1823072687,40.67
3,M1649169323,11.88
2,M348934600,39.46
2,M348934600,73.59
2,M348934600,11.5
5,M348934600,2.03
1,M1352454843,1.89
3,M1823072687,30.88
1,M855959430,19.86
1,M348934600,30.07
2,M348934600,36.11
2,M348934600,25.73
2,M1823072687,52.75
4,M348934600,30.15
3,M85975013,35.74
3,M348934600,12.14
5,M348934600,54.3
1,M348934600,46.22
1,M348934600,47.02
3,M1823072687,25.86
4,M1535107174,85.74
2,M348934600,19.18
2,M855959430,0.23
2,M348934600,18.47
2,M348934600,56.78
3,M348934600,23.73
2,M348934600,38.51
5,M855959430,54.33
4,M348934600,16.07
4,M1823072687,23.59
2,M348934600,10.13
4,M348934600,39.28
3,M1946091778,33.96
3,M1823072687,36.52
6,M348934600,36.92
4,M348934600,2.99
4,M348934600,8.48
1,M348934600,28.44
3,M1823072687,31.44
1,M348934600,0.78
2,M348934600,39.42
2,M151143676,10.43
3,M855959430,61.08
6,M1053599405,85.74
5,M151143676,61.32
4,M348934600,34.95
2,M348934600,34.07
6,M348934600,18.07
4,M348934600,5.15
5,M348934600,40.48
3,M348934600,27.42
2,M348934600,16.91
4,M348934600,33.84
2,M85975013,44.32
2,M348934600,27.65
3,M348934600,33.26
1,M348934600,14.41
4,M348934600,17.87
5,M348934600,73.55
3,M1823072687,69.89
2,M348934600,56.13
5,M348934600,48.51
1,M1823072687,31.19
5,M348934600,24.49
2,M348934600,17.74
2,M1535107174,47.72
3,M348934600,13
5,M348934600,26.77
4,M85975013,24.47
2,M1823072687,60.06
5,M348934600,42.83
4,M1198415165,85.74
2,M1535107174,67.52
3,M348934600,22.31
4,M348934600,31.61
1,M348934600,9.68
4,M1823072687,2.65
3,M1823072687,40.13
2,M1823072687,23.71
2,M348934600,3.76
2,M348934600,10.82
1,M348934600,30.37
2,M692898500,85.74
5,M348934600,47.11
4,M348934600,9.85
2,M348934600,0.82
2,M1823072687,9.09
5,M348934600,43.16
2,M348934600,13.02
2,M348934600,70.9
1,M348934600,24.57
3,M348934600,20.77
3,M348934600,64.29
2,M1823072687,31.94
1,M348934600,12.83
2,M348934600,11.51
2,M348934600,20.83
3,M348934600,1.23
4,M85975013,21.42
3,M1823072687,37.16
4,M348934600,26.11
4,M348934600,30.82
3,M348934600,0.83
6,M348934600,24.95
3,M348934600,26.15
3,M348934600,4.12
2,M348934600,23.74
1,M348934600,64.29
2,M348934600,0.55
1,M348934600,46.43
2,M1823072687,16.94
4,M348934600,31.75
4,M1823072687,40.57
4,M348934600,33.28
1,M348934600,9.65
6,M348934600,71.06
6,M348934600,8.19
4,M1741626453,70.15
3,M1741626453,85.74
3,M1053599405,85.74
3,M1053599405,85.74
4,M348934600,6.76
4,M348934600,9.23
2,M855959430,56.91
2,M348934600,13.68
3,M348934600,28.33
3,M151143676,20.74
2,M348934600,35.95
4,M855959430,34.69
5,M348934600,22.03
4,M50039827,59.51
2,M1535107174,21.03
2,M348934600,72.45
2,M151143676,69.21
6,M1823072687,63.95
3,M348934600,22.84
6,M1823072687,26.87
2,M348934600,34.69
3,M348934600,17.08
4,M1823072687,38.74
4,M348934600,59.78
3,M348934600,17.86
2,M348934600,34.84
3,M348934600,28.72
3,M1823072687,33.12
4,M348934600,42.82
2,M348934600,28.41
5,M348934600,47.07
4,M348934600,71.53
4,M348934600,16.76
5,M348934600,24.16
3,M348934600,10.84
4,M348934600,17.49
3,M1823072687,38.36
4,M348934600,38.73
4,M480139044,55.82
1,M348934600,22.46
2,M348934600,36.46
4,M1823072687,0.85
2,M348934600,35.8
4,M348934600,7.09
3,M348934600,22.12
3,M1823072687,26.92
2,M1823072687,21.89
2,M348934600,13.72
1,M85975013,71.85
2,M348934600,11.22
5,M348934600,18.72
2,M348934600,53.57
3,M480139044,85.74
1,M480139044,85.74
2,M348934600,7.1
3,M348934600,80.35
1,M97925176,46.1
2,M1823072687,59.67
2,M348934600,8.65
3,M348934600,8.83
2,M348934600,65.26
4,M348934600,43.59
3,M348934600,10.61
2,M348934600,45.1
4,M980657600,16.84
2,M348934600,46.94
2,M348934600,38.25
4,M348934600,34.66
3,M348934600,7.26
3,M348934600,24.61
4,M348934600,40.91
3,M348934600,23.08
5,M1823072687,12.53
3,M348934600,37.86
5,M1823072687,19
2,M1823072687,25.7
5,M151143676,52.39
6,M1823072687,85.74
1,M348934600,4.54
4,M1823072687,11.17
2,M348934600,1.42
4,M348934600,28.02
3,M348934600,7.57
3,M348934600,19.88
2,M348934600,9.73
2,M1535107174,22.93
2,M547558035,75.21
2,M348934600,6.15
2,M348934600,27.86
2,M855959430,20.72
3,M85975013,10.31
1,M1823072687,25.04
3,M1823072687,22.22
3,M348934600,49.02
3,M348934600,4.22
2,M348934600,16.06
4,M348934600,13.95
5,M348934600,15.57
3,M923029380,24.8
2,M348934600,33.41
2,M348934600,24.97
2,M348934600,32.78
2,M209847108,8.81
3,M348934600,58.88
3,M348934600,20.89
1,M348934600,25.03
5,M1823072687,10.73
5,M1823072687,24.7
2,M348934600,21.69
3,M348934600,5.6
3,M1823072687,54.36
1,M840466850,21.94
6,M348934600,55.14
4,M348934600,53.77
3,M348934600,4.98
2,M348934600,39.34
6,M85975013,85.74
3,M1823072687,28.39
4,M85975013,85.74
2,M1535107174,85.74
2,M1535107174,85.74
2,M348934600,25.23
3,M348934600,33.16
2,M348934600,38.71
2,M348934600,17.18
2,M348934600,34.69
4,M1823072687,53.92
6,M348934600,52.11
2,M1823072687,29.17
4,M348934600,29.01
1,M348934600,4.29
4,M348934600,35.13
3,M855959430,17.79
2,M348934600,16.6
2,M1823072687,50.19
2,M348934600,21.45
5,M348934600,31.49
4,M348934600,17.81
3,M1946091778,85.74
2,M923029380,85.74
1,M348934600,45.94
3,M348934600,18.79
2,M348934600,42.78
5,M348934600,39.2
5,M348934600,45.95
2,M348934600,25.72
2,M348934600,42.4
3,M348934600,28.42
3,M348934600,11.48
3,M1535107174,70.93
1,M348934600,23.93
2,M348934600,12.96
1,M1823072687,17.68
5,M348934600,44.68
4,M348934600,32.77
6,M348934600,15.87
5,M348934600,48.61
1,M348934600,26.27
6,M1823072687,17.32
2,M1535107174,62
3,M1535107174,85.74
4,M348934600,13.42
3,M348934600,34.01
3,M348934600,16.12
1,M348934600,5.48
4,M85975013,42
3,M1823072687,45.9
3,M1198415165,63.81
5,M1823072687,1.91
3,M348934600,49.03
1,M348934600,20.27
2,M348934600,31.57
1,M855959430,44.1
4,M348934600,54.8
1,M348934600,14.34
1,M348934600,0.64
5,M151143676,85.74
3,M855959430,46.5
5,M348934600,39.41
2,M1353266412,85.74
3,M1535107174,85.74
1,M348934600,5.64
3,M348934600,20.57
5,M348934600,30
2,M348934600,5.67
2,M1823072687,0.91
1,M348934600,28.32
3,M480139044,50.88
2,M348934600,13.6
4,M1823072687,6.22
3,M1823072687,11.09
2,M1823072687,7.88
6,M1823072687,46.82
2,M348934600,15.6
2,M348934600,33.32
5,M348934600,43.23
2,M348934600,24.44
3,M1053599405,74.25
2,M348934600,30.92
3,M348934600,43.27
5,M348934600,29.91
4,M348934600,75.11
3,M85975013,39
5,M980657600,85.74
2,M980657600,85.74
4,M348934600,53.73
3,M1823072687,28.71
4,M348934600,10.99
5,M348934600,30.63
6,M1823072687,46.5
3,M348934600,54.6
2,M348934600,34.61
2,M1823072687,4.14
3,M348934600,13.9
2,M1823072687,5.15
3,M1823072687,20.61
4,M1888755466,25
1,M348934600,16.18
3,M1823072687,41.24
3,M348934600,13.17
3,M348934600,19.79
1,M348934600,28.33
4,M348934600,25.01
3,M348934600,31.57
2,M348934600,5.85
3,M348934600,30.13
4,M348934600,6.52
2,M348934600,26.34
3,M348934600,41.72
4,M348934600,34.73
1,M348934600,42.62
1,M348934600,32.17
1,M348934600,29.13
4,M348934600,6.04
4,M348934600,26.17
2,M348934600,18.05
2,M348934600,7.69
2,M348934600,62.33
3,M85975013,35.46
2,M1198415165,70.8
4,M1823072687,10.07
2,M692898500,27.84
1,M348934600,56.85
5,M348934600,37.92
6,M348934600,65.3
3,M348934600,13.32
2,M1823072687,16.34
1,M348934600,32.49
4,M348934600,16.6
2,M348934600,12.76
5,M348934600,25.56
4,M1741626453,85.74
2,M348934600,19.03
1,M1198415165,58.17
2,M1823072687,36.72
1,M1535107174,2.05
1,M1823072687,4.06
2,M1823072687,22.94
4,M1823072687,15.28
5,M348934600,26.18
3,M348934600,7.25
2,M348934600,12.78
2,M348934600,37.64
3,M348934600,27.41
6,M348934600,16.44
2,M85975013,70.36
2,M348934600,36.04
2,M348934600,8.48
2,M1823072687,7.94
1,M348934600,48.53
4,M348934600,31.53
3,M348934600,40.48
3,M348934600,19.01
3,M348934600,8.03
2,M349281107,9
0,M348934600,14.6
2,M348934600,47.02
3,M348934600,38.85
5,M348934600,48.68
1,M348934600,38.95
3,M2011752106,4.37
5,M348934600,23.78
4,M85975013,59.26
6,M348934600,20.4
3,M348934600,28
3,M348934600,45.23
5,M1823072687,53.04
5,M348934600,21.21
6,M348934600,29.35
1,M348934600,20.75
2,M348934600,26.61
2,M348934600,40.51
2,M85975013,64.66
2,M1823072687,1.94
3,M1535107174,22.73
2,M348934600,12.32
3,M1823072687,71.37
2,M348934600,33.94
3,M348934600,36.03
3,M348934600,18.8
2,M348934600,49.55
6,M348934600,19.59
2,M1823072687,41.62
2,M348934600,21.08
4,M1823072687,32.91
2,M85975013,30.9
2,M348934600,21.49
4,M348934600,40.77
2,M1842530320,85.74
2,M348934600,77.41
3,M348934600,25.87
2,M348934600,29.64
1,M348934600,7.33
2,M855959430,40.29
3,M348934600,32.4
3,M85975013,42.86
3,M85975013,16.98
4,M2122776122,85.74
3,M2122776122,85.74
2,M348934600,12.78
6,M209847108,48.5
2,M692898500,15.04
5,M348934600,20.5
4,M85975013,4.51
5,M1842530320,52.58
5,M348934600,8.56
3,M348934600,47.76
2,M855959430,50.45
6,M348934600,62.23
4,M348934600,18.74
2,M348934600,45.9
3,M348934600,2.63
4,M1823072687,9.84
3,M1823072687,2.66
5,M348934600,7.67
2,M348934600,12.14
2,M1946091778,36.6
3,M1823072687,10.65
1,M840466850,20.23
2,M348934600,27.06
4,M85975013,7.27
2,M348934600,3.84
3,M348934600,14.95
3,M348934600,19.83
3,M348934600,14.03
3,M1888755466,84.39
3,M348934600,44.74
4,M348934600,22.55
4,M348934600,53.88
4,M1823072687,27.29
2,M348934600,52.86
1,M348934600,8.15
3,M348934600,6.09
2,M348934600,7.26
3,M348934600,52.32
3,M1823072687,24.05
2,M348934600,60.8
1,M348934600,35.79
4,M1823072687,10.85
2,M348934600,35.59
2,M1823072687,27.23
5,M1535107174,85.74
5,M348934600,7.4
6,M348934600,66.85
3,M348934600,68.05
1,M348934600,4.12
3,M1823072687,38.55
2,M348934600,38.62
3,M209847108,85.74
3,M209847108,85.74
3,M348934600,36.41
4,M1823072687,8.04
4,M348934600,76.28
5,M1823072687,10.06
2,M348934600,82.33
3,M1823072687,21.44
2,M348934600,28.8
1,M348934600,56.63
3,M348934600,60.67
4,M348934600,7.54
4,M348934600,53.17
3,M348934600,7.78
2,M1823072687,2.06
3,M348934600,35.84
3,M348934600,57.07
4,M1535107174,85.74
4,M1535107174,85.74
4,M348934600,30.49
3,M1823072687,7.69
4,M1053599405,0.72
4,M348934600,21.29
2,M348934600,52.13
2,M85975013,6.86
2,M348934600,1.57
4,M855959430,27.76
5,M348934600,39.51
5,M348934600,56.17
5,M348934600,39.91
4,M348934600,60.57
3,M348934600,11.86
6,M348934600,5.13
6,M980657600,85.74
6,M980657600,83.07
2,M348934600,33.09
4,M348934600,27.56
1,M348934600,25.12
4,M348934600,14.83
4,M348934600,11.07
3,M348934600,23.56
5,M348934600,41.2
2,M348934600,48.1
4,M348934600,10.46
1,M348934600,12.27
2,M348934600,13.91
2,M1823072687,19.31
4,M348934600,27.99
5,M348934600,58.78
5,M348934600,8.54
4,M348934600,8.84
4,M348934600,8.67
5,M1823072687,0.99
5,M348934600,48.44
5,M1823072687,37.83
2,M85975013,50.95
1,M1823072687,41.97
2,M348934600,29.36
1,M85975013,39.41
1,M1823072687,5.25
4,M348934600,36.37
5,M348934600,44.71
4,M348934600,21.87
4,M348934600,55.62
1,M348934600,26.44
2,M348934600,11.52
2,M348934600,16.64
1,M348934600,27.36
5,M1823072687,42.57
2,M348934600,70.27
2,M348934600,11.53
5,M348934600,16.36
2,M1823072687,19.3
1,M1053599405,85.74
5,M348934600,49.55
1,M348934600,5.84
2,M348934600,24.6
2,M348934600,28.45
3,M348934600,21.37
1,M348934600,34.26
